cluster	SEQFID	genus	species	strain
cluster2828	SEQF2536	Delftia	acidovorans	CCUG 15835
cluster298	SEQF1150	Bacillus	anthracis	str. A0442
cluster2179	SEQF2217	Streptococcus	mitis	SK1073
cluster1332	SEQF1709	Bacillus	anthracis	CDC 684
cluster2393	SEQF2298	Gemella	morbillorum	M424
cluster1286	SEQF1679	Treponema	denticola	F0402
cluster2616	SEQF2388	Corynebacterium	diphtheriae	bv. intermedius str. NCTC 5011
cluster732	SEQF1360	Streptococcus	pyogenes	"MGAS315, ATCC BAA-595"
cluster2290	SEQF2274	Corynebacterium	diphtheriae	HC04
cluster2916	SEQF2583	Acidipropionibacterium	acidifaciens	DSM 21887
cluster3435	SEQF2866	Corynebacterium	simulans	pes1
cluster3168	SEQF2705	Actinomyces	israelii	DSM 43320
cluster2075	SEQF2184	Yersinia	pestis	A1122
cluster2702	SEQF2443	Peptoniphilaceae [G-1]	bacterium HMT 113	W5053
cluster3889	SEQF3047	Corynebacterium	minutissimum	hmsc05e07
cluster2590	SEQF2381	Pseudomonas	fluorescens	SS101
cluster2068	SEQF2183	Variovorax	paradoxus	EPS
cluster2735	SEQF2481	Stomatobaculum	longum	ACC2
cluster663	SEQF1330	Stenotrophomonas	maltophilia	R551-3
cluster2608	SEQF2385	Actinomyces	massiliensis	4401292
cluster2982	SEQF2610	Achromobacter	xylosoxidans	NBRC 15126 = ATCC 27061
cluster3541	SEQF2908	Roseomonas	gilardii	u14_5
cluster2479	SEQF2324	Bacillus	subtilis	subsp. subtilis str. SC-8
cluster2091	SEQF2186	Yersinia	pestis	D182038
cluster794	SEQF1398	Acinetobacter	baumannii	ACICU
cluster1784	SEQF1991	Pseudomonas	aeruginosa	138244
cluster3280	SEQF2764	Mesorhizobium	loti	USDA 3471
cluster1288	SEQF1679	Treponema	denticola	F0402
cluster1798	SEQF1992	Pseudomonas	aeruginosa	HB15
cluster010	SEQF1013	Corynebacterium	matruchotii	ATCC 14266
cluster1367	SEQF1725	Staphylococcus	aureus	ED98
cluster3005	SEQF2619	Rhodobacter	capsulatus	B6
cluster2040	SEQF2169	Pseudomonas	fluorescens	F113
cluster3411	SEQF2856	Arthrospira	platensis	paraca
cluster2568	SEQF2352	Pseudomonas	pseudoalcaligenes	KF707
cluster3163	SEQF2704	Corynebacterium	diphtheriae	str. Aberdeen
cluster369	SEQF1184	Corynebacterium	diphtheriae	NCTC 13129
cluster2451	SEQF2319	Capnocytophaga	sp. HMT 863	F0517
cluster1814	SEQF1995	Streptococcus	agalactiae	ATCC 13813
cluster3387	SEQF2847	Klebsiella	aerogenes	kctc_2190
cluster807	SEQF1402	Streptococcus	pneumoniae	SP18-BS74
cluster2306	SEQF2277	Corynebacterium	diphtheriae	VA01
