strain	host	long_name	target	replicate	score
p3-SID4074	p3-HID407	p3-SID4074 (p3-HID407)	M. luteus PID19	A	2
p3-SID4074	p3-HID407	p3-SID4074 (p3-HID407)	R. corynebacteroides PID5	A	2
p3-SID4074	p3-HID407	p3-SID4074 (p3-HID407)	S. aureus PID40	A	0
p3-SID4074	p3-HID407	p3-SID4074 (p3-HID407)	A. baumannii PID42	A	1
p3-SID4074	p3-HID407	p3-SID4074 (p3-HID407)	E. coli K-12 MG1665	A	1
p3-SID4074	p3-HID407	p3-SID4074 (p3-HID407)	P. aeruginosa 27873	A	2
p3-SID4074	p3-HID407	p3-SID4074 (p3-HID407)	M. luteus PID19	B	2
p3-SID4074	p3-HID407	p3-SID4074 (p3-HID407)	R. corynebacteroides PID5	B	2
p3-SID4074	p3-HID407	p3-SID4074 (p3-HID407)	S. aureus PID40	B	0
p3-SID4074	p3-HID407	p3-SID4074 (p3-HID407)	A. baumannii PID42	B	0
p3-SID4074	p3-HID407	p3-SID4074 (p3-HID407)	E. coli K-12 MG1665	B	0
p3-SID4074	p3-HID407	p3-SID4074 (p3-HID407)	P. aeruginosa 27873	B	2
p3-SID4074	p3-HID407	p3-SID4074 (p3-HID407)	M. luteus PID19	C	2
p3-SID4074	p3-HID407	p3-SID4074 (p3-HID407)	R. corynebacteroides PID5	C	2
p3-SID4074	p3-HID407	p3-SID4074 (p3-HID407)	S. aureus PID40	C	0
p3-SID4074	p3-HID407	p3-SID4074 (p3-HID407)	A. baumannii PID42	C	0
p3-SID4074	p3-HID407	p3-SID4074 (p3-HID407)	E. coli K-12 MG1665	C	0
p3-SID4074	p3-HID407	p3-SID4074 (p3-HID407)	P. aeruginosa 27873	C	2
p3-SID4076	p3-HID407	p3-SID4076 (p3-HID407)	M. luteus PID19	A	2
p3-SID4076	p3-HID407	p3-SID4076 (p3-HID407)	R. corynebacteroides PID5	A	2
p3-SID4076	p3-HID407	p3-SID4076 (p3-HID407)	S. aureus PID40	A	0
p3-SID4076	p3-HID407	p3-SID4076 (p3-HID407)	A. baumannii PID42	A	2
p3-SID4076	p3-HID407	p3-SID4076 (p3-HID407)	E. coli K-12 MG1665	A	2
p3-SID4076	p3-HID407	p3-SID4076 (p3-HID407)	P. aeruginosa 27873	A	2
p3-SID4076	p3-HID407	p3-SID4076 (p3-HID407)	M. luteus PID19	B	2
p3-SID4076	p3-HID407	p3-SID4076 (p3-HID407)	R. corynebacteroides PID5	B	2
p3-SID4076	p3-HID407	p3-SID4076 (p3-HID407)	S. aureus PID40	B	0
p3-SID4076	p3-HID407	p3-SID4076 (p3-HID407)	A. baumannii PID42	B	2
p3-SID4076	p3-HID407	p3-SID4076 (p3-HID407)	E. coli K-12 MG1665	B	2
p3-SID4076	p3-HID407	p3-SID4076 (p3-HID407)	P. aeruginosa 27873	B	2
p3-SID4076	p3-HID407	p3-SID4076 (p3-HID407)	M. luteus PID19	C	2
p3-SID4076	p3-HID407	p3-SID4076 (p3-HID407)	R. corynebacteroides PID5	C	2
p3-SID4076	p3-HID407	p3-SID4076 (p3-HID407)	S. aureus PID40	C	0
p3-SID4076	p3-HID407	p3-SID4076 (p3-HID407)	A. baumannii PID42	C	2
p3-SID4076	p3-HID407	p3-SID4076 (p3-HID407)	E. coli K-12 MG1665	C	2
p3-SID4076	p3-HID407	p3-SID4076 (p3-HID407)	P. aeruginosa 27873	C	2
p3-SID4082	p3-HID408	p3-SID4082 (p3-HID408)	M. luteus PID19	A	2
p3-SID4082	p3-HID408	p3-SID4082 (p3-HID408)	R. corynebacteroides PID5	A	2
p3-SID4082	p3-HID408	p3-SID4082 (p3-HID408)	S. aureus PID40	A	0
p3-SID4082	p3-HID408	p3-SID4082 (p3-HID408)	A. baumannii PID42	A	0
p3-SID4082	p3-HID408	p3-SID4082 (p3-HID408)	E. coli K-12 MG1665	A	0
p3-SID4082	p3-HID408	p3-SID4082 (p3-HID408)	P. aeruginosa 27873	A	0
p3-SID4082	p3-HID408	p3-SID4082 (p3-HID408)	M. luteus PID19	B	2
p3-SID4082	p3-HID408	p3-SID4082 (p3-HID408)	R. corynebacteroides PID5	B	2
p3-SID4082	p3-HID408	p3-SID4082 (p3-HID408)	S. aureus PID40	B	0
p3-SID4082	p3-HID408	p3-SID4082 (p3-HID408)	A. baumannii PID42	B	0
p3-SID4082	p3-HID408	p3-SID4082 (p3-HID408)	E. coli K-12 MG1665	B	0
p3-SID4082	p3-HID408	p3-SID4082 (p3-HID408)	P. aeruginosa 27873	B	0
p3-SID4082	p3-HID408	p3-SID4082 (p3-HID408)	M. luteus PID19	C	2
p3-SID4082	p3-HID408	p3-SID4082 (p3-HID408)	R. corynebacteroides PID5	C	2
p3-SID4082	p3-HID408	p3-SID4082 (p3-HID408)	S. aureus PID40	C	0
p3-SID4082	p3-HID408	p3-SID4082 (p3-HID408)	A. baumannii PID42	C	0
p3-SID4082	p3-HID408	p3-SID4082 (p3-HID408)	E. coli K-12 MG1665	C	0
p3-SID4082	p3-HID408	p3-SID4082 (p3-HID408)	P. aeruginosa 27873	C	0
p3-SID4086	p3-HID408	p3-SID4086 (p3-HID408)	M. luteus PID19	A	2
p3-SID4086	p3-HID408	p3-SID4086 (p3-HID408)	R. corynebacteroides PID5	A	2
p3-SID4086	p3-HID408	p3-SID4086 (p3-HID408)	S. aureus PID40	A	0
p3-SID4086	p3-HID408	p3-SID4086 (p3-HID408)	A. baumannii PID42	A	0
p3-SID4086	p3-HID408	p3-SID4086 (p3-HID408)	E. coli K-12 MG1665	A	0
p3-SID4086	p3-HID408	p3-SID4086 (p3-HID408)	P. aeruginosa 27873	A	0
p3-SID4086	p3-HID408	p3-SID4086 (p3-HID408)	M. luteus PID19	B	2
p3-SID4086	p3-HID408	p3-SID4086 (p3-HID408)	R. corynebacteroides PID5	B	2
p3-SID4086	p3-HID408	p3-SID4086 (p3-HID408)	S. aureus PID40	B	0
p3-SID4086	p3-HID408	p3-SID4086 (p3-HID408)	A. baumannii PID42	B	0
p3-SID4086	p3-HID408	p3-SID4086 (p3-HID408)	E. coli K-12 MG1665	B	0
p3-SID4086	p3-HID408	p3-SID4086 (p3-HID408)	P. aeruginosa 27873	B	0
p3-SID4086	p3-HID408	p3-SID4086 (p3-HID408)	M. luteus PID19	C	2
p3-SID4086	p3-HID408	p3-SID4086 (p3-HID408)	R. corynebacteroides PID5	C	2
p3-SID4086	p3-HID408	p3-SID4086 (p3-HID408)	S. aureus PID40	C	0
p3-SID4086	p3-HID408	p3-SID4086 (p3-HID408)	A. baumannii PID42	C	0
p3-SID4086	p3-HID408	p3-SID4086 (p3-HID408)	E. coli K-12 MG1665	C	0
p3-SID4086	p3-HID408	p3-SID4086 (p3-HID408)	P. aeruginosa 27873	C	0
p3-SID4100	p3-HID411	p3-SID4100 (p3-HID411)	M. luteus PID19	A	2
p3-SID4100	p3-HID411	p3-SID4100 (p3-HID411)	R. corynebacteroides PID5	A	2
p3-SID4100	p3-HID411	p3-SID4100 (p3-HID411)	S. aureus PID40	A	0
p3-SID4100	p3-HID411	p3-SID4100 (p3-HID411)	A. baumannii PID42	A	0
p3-SID4100	p3-HID411	p3-SID4100 (p3-HID411)	E. coli K-12 MG1665	A	0
p3-SID4100	p3-HID411	p3-SID4100 (p3-HID411)	P. aeruginosa 27873	A	2
p3-SID4100	p3-HID411	p3-SID4100 (p3-HID411)	M. luteus PID19	B	2
p3-SID4100	p3-HID411	p3-SID4100 (p3-HID411)	R. corynebacteroides PID5	B	2
p3-SID4100	p3-HID411	p3-SID4100 (p3-HID411)	S. aureus PID40	B	0
p3-SID4100	p3-HID411	p3-SID4100 (p3-HID411)	A. baumannii PID42	B	0
p3-SID4100	p3-HID411	p3-SID4100 (p3-HID411)	E. coli K-12 MG1665	B	0
p3-SID4100	p3-HID411	p3-SID4100 (p3-HID411)	P. aeruginosa 27873	B	2
p3-SID4100	p3-HID411	p3-SID4100 (p3-HID411)	M. luteus PID19	C	2
p3-SID4100	p3-HID411	p3-SID4100 (p3-HID411)	R. corynebacteroides PID5	C	2
p3-SID4100	p3-HID411	p3-SID4100 (p3-HID411)	S. aureus PID40	C	0
p3-SID4100	p3-HID411	p3-SID4100 (p3-HID411)	A. baumannii PID42	C	0
