SEQFID	Dynamic_Annotation	Static_Annotation	HMT_ID	Genus	Species	Strain	Contigs	Size_bp
SEQF1003	HOMD	NCBI	HMT-750	Atopobium	rimae	ATCC 49626, VPI D140H-11A	9	1,626,291
SEQF1005	HOMD		HMT-623	Campylobacter	gracilis	ATCC 33236	384	402,378
SEQF1006		NCBI	HMT-700	Capnocytophaga	ochracea	F0287	61	2,635,317
SEQF1008	HOMD	NCBI	HMT-700	Capnocytophaga	ochracea	DSM 7271, ATCC 27872, JCM 12966	1	2,612,925
SEQF1013		NCBI	HMT-666	Corynebacterium	matruchotii	ATCC 14266	8	2,855,988
SEQF1014	HOMD	NCBI	HMT-530	Cutibacterium	acnes	SK137	1	2,495,334
SEQF1016	HOMD	NCBI	HMT-577	Eikenella	corrodens	ATCC 23834	65	2,135,355
SEQF1017	HOMD	NCBI	HMT-759	Peptostreptococcaceae [XI][G-5]	[Eubacterium] saphenum	ATCC 49989	4	1,084,446
SEQF1018	HOMD	NCBI	HMT-539	Filifactor	alocis	ATCC 35896	1	1,931,012
SEQF1019	HOMD	NCBI	HMT-626	Gemella	haemolysans	ATCC 10379	14	1,915,941
SEQF1020	HOMD		HMT-302	Alloprevotella	rava	F0020	404	361,550
SEQF1025	HOMD	NCBI	HMT-659	Mesorhizobium	loti	MAFF303099	3	7,596,297
SEQF1026	HOMD	NCBI	HMT-819	Lactobacillus	johnsonii	NCC 533	1	1,992,676
SEQF1027	HOMD	NCBI	HMT-821	Haemophilus	ducreyi	35000HP	1	1,698,955
SEQF1028	HOMD		HMT-563	Leptotrichia	buccalis	ATCC 14201	345	391,551
SEQF1029	HOMD	NCBI	HMT-111	Parvimonas	micra	ATCC 33270	17	1,703,772
SEQF1031	HOMD	NCBI	HMT-038	Olsenella	uli	DSM 7084, VPI, ATCC 49627	1	2,051,896
SEQF1032	HOMD	NCBI	HMT-822	Mycobacterium	tuberculosis	CDC1551	1	4,403,837
SEQF1033	HOMD	NCBI	HMT-273	Porphyromonas	endodontalis	ATCC 35406	37	2,064,508
SEQF1034		NCBI	HMT-822	Mycobacterium	tuberculosis	H37Rv (lab strain)	1	4,411,532
SEQF1035		NCBI	HMT-823	Mycobacterium	leprae	TN	1	3,268,203
SEQF1037		NCBI	HMT-824	Bacillus	anthracis	Ames	1	5,227,293
SEQF1038		NCBI	HMT-824	Bacillus	anthracis	Ames Ancestor	3	5,503,926
SEQF1039	HOMD	NCBI	HMT-681	Rothia	mucilaginosa	ATCC 25296	25	2,255,158
SEQF1041		NCBI	HMT-824	Bacillus	anthracis	Sterne	1	5,228,663
SEQF1045	HOMD	NCBI	HMT-095	Shuttleworthia	satelles	DSM 14600, BAA-774, CCUG 45864	10	2,168,977
SEQF1050		NCBI	HMT-825	Listeria	monocytogenes	1/2a F6854	133	2,950,285
SEQF1051		NCBI	HMT-825	Listeria	monocytogenes	4b F2365	1	2,905,187
SEQF1052		NCBI	HMT-825	Listeria	monocytogenes	4b H7858	181	2,972,254
SEQF1053	HOMD	NCBI	HMT-825	Listeria	monocytogenes	08-5578	2	3,109,342
SEQF1054	HOMD	NCBI	HMT-827	Yersinia	pestis	Antiqua JGI	4	4,879,836
SEQF1055		NCBI	HMT-827	Yersinia	pestis	CO92	4	4,829,855
SEQF1056		NCBI	HMT-827	Yersinia	pestis	KIM10+	2	4,701,745
SEQF1057		NCBI	HMT-827	Yersinia	pestis	Nepal516	3	4,646,286
SEQF1058	HOMD		HMT-161	Veillonella	parvula	ATCC 17745	353	371,505
SEQF1059		NCBI	HMT-734	Streptococcus	pneumoniae	G54	1	2,078,953
SEQF1060	HOMD		HMT-653	Treponema	lecithinolyticum	OMZ 684T	1,377	1,468,573
SEQF1061	HOMD	NCBI	HMT-584	Treponema	denticola	ATCC 35405, DSM 14222	1	2,843,201
SEQF1062	HOMD	NCBI	HMT-805	Treponema	pallidum	str. Nichols	1	1,138,011
SEQF1063	HOMD		HMT-176	Actinomyces	naeslundii	MG1	1	3,042,856
SEQF1064	HOMD	NCBI	HMT-619	Porphyromonas	gingivalis	W83	1	2,343,476
SEQF1065	HOMD	NCBI	HMT-643	Prevotella	intermedia	17	2	2,699,437
SEQF1066	HOMD	NCBI	HMT-622	Streptococcus	gordonii	Challis CH1, ATCC 35105, NCTC7868	1	2,196,662
