#Organism Name	Organism Groups	Strain	BioSample	BioProject	Assembly	Level	Size(Mb)	GC%	Replicons	WGS	Scaffolds	CDS	Release Date	GenBank FTP	RefSeq FTP
Streptococcus infantis	Bacteria;Terrabacteria group;Firmicutes	ATCC 700779	SAMN00216972	PRJNA53205	GCA_000187465.1	Scaffold	1.90598	39.1	NA	AEVD01	10	1844	2011-02-01	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/187/465/GCA_000187465.1_ASM18746v1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/187/465/GCF_000187465.1_ASM18746v1
Streptococcus infantis	Bacteria;Terrabacteria group;Firmicutes	ATCC 700779	SAMN00761850	PRJNA158721	GCA_000260755.1	Contig	1.85723	39	NA	AJTA01	53	1823	2012-04-30	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/260/755/GCA_000260755.1_SinfantisSK959v1.0	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/260/755/GCF_000260755.1_SinfantisSK959v1.0
Streptococcus infantis	Bacteria;Terrabacteria group;Firmicutes	NCTC13771	SAMEA3905383	PRJEB6403	GCA_900459415.1	Contig	2.02365	38.9	NA	UHFU01	6	1924	2018-07-30	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/900/459/415/GCA_900459415.1_45473_C02	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/900/459/415/GCF_900459415.1_45473_C02
Streptococcus infantis	Bacteria;Terrabacteria group;Firmicutes	X	SAMN00255230	PRJNA64693	GCA_000223335.2	Contig	1.8695	39.6	NA	AFUQ01	16	1606	2011-08-10	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/223/335/GCA_000223335.2_ASM22333v2	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/223/335/GCF_000223335.1_ASM22333v2
Streptococcus infantis	Bacteria;Terrabacteria group;Firmicutes	SPAR10	SAMN00811524	PRJNA89127	GCA_000279535.1	Contig	1.75865	39.4	NA	ALCH01	10	1619	2012-07-18	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/279/535/GCA_000279535.1_ASM27953v1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/279/535/GCF_000279535.1_ASM27953v1
Streptococcus infantis	Bacteria;Terrabacteria group;Firmicutes	SK970	SAMN00621709	PRJNA67191	GCA_000223255.2	Contig	1.94561	39.4	NA	AFUT01	9	1516	2011-08-10	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/223/255/GCA_000223255.2_ASM22325v2	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/223/255/GCF_000223255.1_ASM22325v2
Streptococcus infantis	Bacteria;Terrabacteria group;Firmicutes	UC921A	SAMN03334903	PRJNA274768	GCA_000960085.1	Contig	1.79199	39.2	NA	JYGT01	11	1741	2015-03-23	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/960/085/GCA_000960085.1_ASM96008v1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/960/085/GCF_000960085.1_ASM96008v1
Streptococcus infantis	Bacteria;Terrabacteria group;Firmicutes	UC6950A	SAMN03334905	PRJNA274768	GCA_000963255.1	Contig	2.02469	39.8	NA	JYOV01	29	1837	2015-03-25	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/963/255/GCA_000963255.1_ASM96325v1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/963/255/GCF_000963255.1_ASM96325v1
Streptococcus infantis	Bacteria;Terrabacteria group;Firmicutes	SK1076	SAMN00621697	PRJNA65583	GCA_000215385.2	Contig	1.74406	39.5	NA	AFNN01	30	1599	2011-05-27	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/215/385/GCA_000215385.2_ASM21538v1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/215/385/GCF_000215385.1_ASM21538v1
Streptococcus infantis	Bacteria;Terrabacteria group;Firmicutes	DD18	SAMN04325030	PRJNA304333	GCA_001579645.1	Scaffold	2.11172	39.5966	plasmid unnamed:NZ_CM003841.1/CM003841.1	LQZF01	56	1869	2016-03-02	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/579/645/GCA_001579645.1_ASM157964v1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/579/645/GCF_001579645.1_ASM157964v1
